t(s),Req(m),CR,CV,Cn,kappa,T_gain,k,a,R0,tau_e
0.000000,0.820000,1.000000,1.000000,1.000000,1.691412,1.000000,5.311230,0.343572,0.479559,0.011816
0.000010,0.820000,1.000000,1.000000,1.000000,1.691413,0.999154,5.311231,0.343572,0.479560,0.011816
0.000020,0.820000,1.000000,1.000000,1.000000,1.691413,0.998309,5.311231,0.343572,0.479560,0.011816
0.000030,0.820000,1.000000,1.000001,1.000001,1.691413,0.997465,5.311232,0.343572,0.479559,0.011816
0.000040,0.820000,1.000000,1.000002,1.000002,1.691415,0.996622,5.311235,0.343572,0.479559,0.011816
0.000050,0.819999,1.000001,1.000004,1.000004,1.691417,0.995780,5.311240,0.343571,0.479559,0.011816
0.000060,0.819998,1.000002,1.000008,1.000008,1.691421,0.994941,5.311250,0.343571,0.479558,0.011816
0.000070,0.819997,1.000004,1.000015,1.000015,1.691427,0.994103,5.311265,0.343569,0.479556,0.011816
0.000080,0.819994,1.000007,1.000025,1.000025,1.691437,0.993269,5.311288,0.343567,0.479554,0.011816
0.000090,0.819991,1.000011,1.000039,1.000039,1.691451,0.992438,5.311321,0.343564,0.479551,0.011816
0.000100,0.819986,1.000017,1.000058,1.000058,1.691470,0.991611,5.311366,0.343560,0.479547,0.011816
0.000110,0.819980,1.000024,1.000084,1.000084,1.691496,0.990789,5.311427,0.343555,0.479541,0.011816
0.000120,0.819972,1.000034,1.000095,1.000095,1.691528,0.989959,5.311513,0.343548,0.479534,0.011815
0.000130,0.819962,1.000046,1.000116,1.000116,1.691572,0.989135,5.311626,0.343538,0.479526,0.011815
0.000140,0.819949,1.000062,1.000171,1.000171,1.691625,0.988334,5.311751,0.343527,0.479514,0.011814
0.000150,0.819934,1.000081,1.000236,1.000236,1.691689,0.987541,5.311901,0.343514,0.479500,0.011814
0.000160,0.819915,1.000104,1.000314,1.000314,1.691766,0.986757,5.312082,0.343499,0.479482,0.011813
0.000170,0.819892,1.000132,1.000408,1.000408,1.691857,0.985983,5.312298,0.343480,0.479462,0.011812
0.000180,0.819865,1.000165,1.000517,1.000517,1.691965,0.985221,5.312552,0.343458,0.479437,0.011811
0.000190,0.819834,1.000203,1.000639,1.000639,1.692091,0.984466,5.312851,0.343432,0.479409,0.011809
0.000200,0.819797,1.000247,1.000784,1.000784,1.692236,0.983728,5.313193,0.343402,0.479377,0.011808
0.000210,0.819755,1.000299,1.000953,1.000953,1.692405,0.983006,5.313593,0.343367,0.479339,0.011806
0.000220,0.819707,1.000357,1.001144,1.001144,1.692599,0.982299,5.314049,0.343328,0.479296,0.011804
0.000230,0.819653,1.000424,1.001362,1.001362,1.692816,0.981609,5.314563,0.343283,0.479248,0.011802
0.000240,0.819590,1.000500,1.001608,1.001608,1.693063,0.980938,5.315146,0.343233,0.479193,0.011799
0.000250,0.819518,1.000588,1.001884,1.001884,1.693340,0.980287,5.315800,0.343176,0.479131,0.011796
0.000260,0.819442,1.000681,1.002192,1.002192,1.693648,0.979657,5.316529,0.343113,0.479062,0.011793
0.000270,0.819354,1.000788,1.002535,1.002535,1.693989,0.979050,5.317335,0.343043,0.478986,0.011789
0.000280,0.819256,1.000908,1.002921,1.002921,1.694372,0.978471,5.318242,0.342964,0.478901,0.011785
0.000290,0.819147,1.001041,1.003316,1.003316,1.694798,0.977898,5.319251,0.342877,0.478807,0.011781
0.000300,0.819027,1.001187,1.003801,1.003801,1.695276,0.977382,5.320384,0.342779,0.478701,0.011776
0.000310,0.818895,1.001350,1.004337,1.004337,1.695807,0.976900,5.321639,0.342670,0.478583,0.011770
0.000320,0.818749,1.001527,1.004921,1.004921,1.696386,0.976449,5.323007,0.342552,0.478454,0.011764
0.000330,0.818592,1.001720,1.005558,1.005558,1.697018,0.976031,5.324502,0.342423,0.478314,0.011758
0.000340,0.818421,1.001929,1.006248,1.006248,1.697702,0.975647,5.326122,0.342283,0.478162,0.011751
0.000350,0.818241,1.002149,1.006975,1.006975,1.698425,0.975286,5.327833,0.342136,0.478002,0.011743
0.000360,0.818049,1.002385,1.007754,1.007754,1.699199,0.974958,5.329666,0.341978,0.477830,0.011735
0.000370,0.817843,1.002638,1.008556,1.008556,1.700028,0.974644,5.331635,0.341809,0.477648,0.011726
0.000380,0.817621,1.002909,1.009458,1.009458,1.700921,0.974394,5.333749,0.341627,0.477451,0.011717
0.000390,0.817384,1.003200,1.010423,1.010423,1.701878,0.974182,5.336014,0.341433,0.477240,0.011707
0.000400,0.817131,1.003511,1.011453,1.011453,1.702900,0.974012,5.338435,0.341226,0.477014,0.011696
0.000410,0.816862,1.003842,1.012551,1.012551,1.703991,0.973883,5.341020,0.341005,0.476774,0.011685
0.000420,0.816575,1.004195,1.013686,1.013686,1.705149,0.973776,5.343770,0.340770,0.476520,0.011673
0.000430,0.816270,1.004569,1.014934,1.014934,1.706367,0.973740,5.346656,0.340524,0.476252,0.011660
0.000440,0.815947,1.004967,1.016255,1.016255,1.707650,0.973749,5.349697,0.340265,0.475970,0.011647
0.000450,0.815605,1.005388,1.017652,1.017652,1.709007,0.973805,5.352917,0.339991,0.475672,0.011633
0.000460,0.815244,1.005834,1.019098,1.019098,1.710439,0.973889,5.356320,0.339703,0.475359,0.011618
